ident,name,lat,lon,gt,pred,detected,confidence,bbox_px,category
00A,Total Rf,40.07083333333334,-74.93361111111112,1,0,True,0.3811,"[150, 121, 424, 368]",FN
00NJ,Colgate-Piscataway,40.52093694444444,-74.4745975,0,0,False,0.0,,TN
01CT,Berlin Fairgrounds,41.62663055555556,-72.72716666666666,0,0,False,0.0,,TN
01MA,Compaq Andover,42.62509222222222,-71.18006944444446,0,0,False,0.0,,TN
01NY,Nuvance Health Vassar Brothers Medical Center,41.69178055555555,-73.93589444444444,1,1,True,0.7135,"[297, 193, 456, 331]",TP
02MA,Cuttyhunk,41.419575,-70.92692222222223,1,0,False,0.0,,FN
02NJ,Merck Kenilworth Campus,40.67462222222222,-74.27818611111111,1,1,True,0.6718,"[270, 222, 428, 355]",TP
02NY,Hansen,43.13213055555556,-75.655225,0,0,False,0.0,,TN
02PN,Peco Berwyn,40.059019444444445,-75.46138888888889,1,0,True,0.4878,"[273, 274, 373, 362]",FN
03NJ,St Joseph's Hospital,40.903505555555554,-74.16547222222223,1,1,True,0.6972,"[250, 230, 437, 398]",TP
03PN,M P Metals,41.06686111111112,-76.18080555555557,0,0,False,0.0,,TN
05MA,Bentley,42.693080555555554,-70.91229722222222,0,0,False,0.0,,TN
05NJ,Paulus Hook Pier,40.71339722222223,-74.03202222222222,1,1,True,0.7565,"[248, 245, 406, 385]",TP
05NY,Oswego County At Pulaski,43.55201388888889,-76.0902011111111,1,1,True,0.7494,"[418, 361, 640, 559]",TP
05PA,Peco Mob,39.95483472222222,-75.1782338888889,1,1,True,0.6437,"[396, 243, 589, 398]",TP
05PN,State Police Area Iii,40.30008861111111,-76.85802833333332,0,0,False,0.0,,TN
06MA,The Barn,42.690644444444445,-71.60895805555555,0,0,False,0.0,,TN
06NJ,J&j New Brunswick Helistop,40.50183719444444,-74.445735,1,0,True,0.4672,"[218, 211, 443, 402]",FN
07MA,West Pond,41.9170475,-70.70948055555556,0,0,False,0.0,,TN
07NJ,Hackensack UMc Palisades,40.79375833333333,-73.99479722222222,1,1,True,0.6404,"[178, 278, 384, 464]",TP
08NJ,Cooperman Barnabas Medical Center,40.76260055555556,-74.30403722222222,1,1,True,0.7731,"[264, 331, 399, 456]",TP
08PA,Pocono Raceway Corporate,41.061638888888886,-75.50920833333333,0,0,False,0.0,,TN
09NJ,Stonebridge Farm Helistop,40.65371277777778,-74.68654944444445,0,0,False,0.0,,TN
09NY,D Storm Meml,41.92381666666667,-74.04275,1,0,True,0.4209,"[229, 238, 384, 382]",FN
0CT0,Sharon Hospital,41.88121944444445,-73.48097777777778,1,1,True,0.7063,"[403, 256, 529, 369]",TP
0CT2,Windham Hospital,41.71681111111111,-72.22556111111112,1,1,True,0.8356,"[230, 244, 383, 382]",TP
0CT3,N B G H,41.66155,-72.78784166666667,1,1,True,0.6163,"[259, 258, 363, 355]",TP
0CT5,St Francis Hospital,41.774927777777776,-72.69778611111111,1,1,True,0.7919,"[145, 287, 288, 414]",TP
0CT7,Bridgeport Hospital,41.188380555555554,-73.16674722222223,1,1,True,0.6127,"[260, 241, 427, 362]",TP
0CT8,Danbury Hospital,41.40530833333333,-73.4452888888889,1,1,True,0.7876,"[273, 256, 401, 370]",TP
0CT9,Hartford Hospital,41.75459722222222,-72.6786388888889,1,0,False,0.0,,FN
0MA1,Massachusetts General Hospital,42.36368333333333,-71.06922777777777,1,1,True,0.7707,"[145, 281, 287, 405]",TP
0MA2,Healthalliance Hospital-Leominster,42.54058055555555,-71.760625,1,1,True,0.7703,"[261, 263, 380, 369]",TP
0MA3,Reh,41.786227777777775,-71.23142222222222,1,1,True,0.7842,"[268, 270, 375, 372]",TP
0MA4,Boston Medical Center Hospital,42.333822222222224,-71.07136666666666,1,1,True,0.5415,"[232, 259, 405, 410]",TP
0MA5,Brockton Usar Center,42.05593333333333,-71.05587944444444,0,0,True,0.4358,"[476, 286, 639, 450]",TN
0MA6,Wbz,42.365096944444446,-71.13255277777778,1,1,True,0.7512,"[180, 126, 333, 263]",TP
0MA9,Lleia Kyle O'meara,42.50485277777778,-71.90839166666667,0,0,False,0.0,,TN
0NJ0,Atlantic City Medical Center,39.35898888888889,-74.43467777777778,1,1,True,0.6879,"[308, 231, 494, 396]",TP
0NJ1,Berkeley Township Police,39.90474444444445,-74.2339638888889,1,0,False,0.0,,FN
0NJ2,Ballymere,40.752878333333335,-74.43987527777779,0,0,False,0.0,,TN
0NJ3,Mount Holly,39.97812222222223,-74.78395277777777,0,1,True,0.5631,"[191, 110, 322, 222]",FP
0NJ4,Weichert Headquarters,40.84047222222223,-74.46180555555556,1,1,True,0.5293,"[248, 248, 378, 367]",TP
0NJ5,Meadowlands #2 Nj Sports Complex,40.81572222222222,-74.07016666666667,1,1,True,0.5495,"[177, 169, 409, 387]",TP
0NJ9,Jersey Tpke New Brunswick Helistop,40.47732722222222,-74.40792805555556,0,0,False,0.0,,TN
0NK4,Medical Center,40.72647222222223,-73.55276666666667,1,0,True,0.4601,"[222, 219, 456, 408]",FN
0NK7,King Street,41.102691666666665,-73.72553888888889,1,1,True,0.7651,"[245, 277, 373, 400]",TP
0NY2,Amar,41.23102777777778,-74.04733333333333,1,1,True,0.7288,"[239, 244, 413, 410]",TP
0NY4,Bridgeview,41.98272222222222,-73.96322222222223,1,0,True,0.2743,"[264, 279, 374, 380]",FN
0NY6,New York State Police,42.92884444444445,-76.61572222222222,1,0,False,0.0,,FN
0PA0,Richfield Station,40.68430277777777,-77.12643055555554,1,0,True,0.4883,"[192, 216, 416, 405]",FN
0PA8,Geisinger Community Medical Center Nap,41.40006388888889,-75.64647500000001,1,1,True,0.7438,"[273, 273, 466, 448]",TP
0PA9,Carson,40.34666666666667,-75.23067777777779,1,0,True,0.4631,"[162, 149, 472, 441]",FN
0PN3,Pfizer-Collegeville,40.158675,-75.46343055555556,1,1,True,0.6963,"[218, 231, 416, 415]",TP
0PS6,Herbst,39.94954333333333,-76.55329888888889,0,0,False,0.0,,TN
0PS8,UpMc Hamot Bayfront Garage,42.132955555555554,-80.08623055555555,1,1,True,0.7296,"[246, 218, 436, 394]",TP
0PS9,Jefferson Health Bucks County Campus,40.18271666666666,-74.86800833333332,1,1,True,0.7641,"[227, 248, 371, 370]",TP
10CT,Steel Pointe Harbor,41.176296,-73.180857,0,0,False,0.0,,TN
10NJ,St Francis M C Helistop,40.21844222222222,-74.73877166666666,0,1,True,0.6028,"[63, 288, 217, 444]",FP
10NK,Glens Falls Hospital,43.30733611111111,-73.64621111111111,1,1,True,0.5798,"[240, 245, 399, 386]",TP
10NY,Elizabethtown Community Hospital,44.21638333333333,-73.59635277777777,0,0,False,0.0,,TN
11NJ,Southdown,40.64063888888889,-74.66388888888889,0,0,False,0.0,,TN
11PA,Worcester,40.19218333333333,-75.31383888888888,1,0,False,0.0,,FN
12MA,Mellen Street,42.20705555555556,-71.44269444444444,0,0,False,0.0,,TN
12NJ,Honeywell,40.83708333333333,-74.47669444444445,1,1,True,0.7988,"[240, 242, 390, 382]",TP
12PA,Helicopter Applicators Inc,39.84936388888889,-77.18400555555556,1,0,False,0.0,,FN
12PN,10 Monument,40.007334444444446,-75.2154575,0,0,False,0.0,,TN
12PS,Siple,39.72377777777778,-75.88138888888888,0,0,False,0.0,,TN
13NK,Quaker Valley Farm,41.5975,-73.5315,1,0,False,0.0,,FN
13NY,Health Sciences Cntr Unv Hosp,40.90989166666667,-73.1146611111111,1,1,True,0.7669,"[230, 252, 389, 388]",TP
14CT,Mptn,41.48554166666667,-71.97311388888889,1,1,True,0.6246,"[223, 227, 422, 407]",TP
14NJ,Wuerkers New Acres Farm,39.00900166666667,-74.88850416666668,0,1,True,0.5253,"[572, 118, 640, 237]",FP
14NY,Windy's,40.797777777777775,-73.41783333333333,0,0,False,0.0,,TN
15NJ,Werner,40.42345555555556,-74.0981361111111,1,1,True,0.6665,"[268, 257, 368, 350]",TP
15PN,Metro Edison,40.37509277777778,-75.93854222222222,0,0,False,0.0,,TN
15PS,Jennersville Hospital,39.82256944444445,-75.88811666666668,0,1,True,0.5557,"[249, 253, 383, 374]",FP
16MA,Lawrence General Hospital,42.70856944444445,-71.14852777777779,1,1,True,0.6639,"[265, 263, 385, 376]",TP
16NK,Delaware Valley Hospital,42.163647222222224,-75.1290111111111,1,1,True,0.7884,"[241, 245, 398, 388]",TP
16PN,Oakdale AHP,40.38840222222222,-80.1581125,0,0,False,0.0,,TN
17MA,Long Hill,42.50506388888889,-71.77803333333333,0,0,False,0.0,,TN
17NJ,CMc Steel New Jersey,40.48111111111111,-74.31983333333334,1,1,True,0.6663,"[282, 270, 411, 388]",TP
17PN,Tobyhanna Army Depot,41.19834444444445,-75.43659444444445,1,0,True,0.3738,"[294, 0, 475, 49]",FN
18MA,Holy Family Hospital,42.72847222222222,-71.16940000000001,1,1,True,0.6907,"[260, 266, 381, 373]",TP
18NJ,Manalapan Township-Village Green,40.27955444444444,-74.32931416666666,0,0,False,0.0,,TN
19MA,Waine,41.28444444444444,-70.15,0,0,False,0.0,,TN
19NJ,Michaels Organization,39.91366666666666,-74.92897222222223,1,1,True,0.7172,"[314, 333, 441, 450]",TP
1CT2,Yale New Haven Hospital,41.30445,-72.93673055555556,1,1,True,0.5795,"[426, 239, 596, 401]",TP
1CT3,St Mary's,41.55335555555556,-73.03762777777777,1,1,True,0.7896,"[227, 238, 403, 389]",TP
1JY4,Hamilton Headquarter Troop C,40.20138888888889,-74.64883333333334,1,1,True,0.7516,"[241, 246, 414, 404]",TP
1MA0,Beth Israel Deaconess Hospital-Plymouth,41.94013611111111,-70.64717222222222,1,1,True,0.6613,"[184, 192, 444, 423]",TP
1MA1,Nashoba Valley Medical Center,42.57651944444445,-71.57385555555555,1,1,True,0.8181,"[258, 261, 387, 380]",TP
1MA2,Umass Meml Medical Center-Univ Campus,42.275,-71.76,0,0,False,0.0,,TN
1MA7,Long Hill Orchard,42.80676388888889,-70.97888888888889,0,0,False,0.0,,TN
1MA8,Horizon Hill,42.41964722222222,-71.30935,1,1,True,0.5069,"[289, 265, 374, 343]",TP
1MA9,Morton Hospital,41.90571388888889,-71.09499444444444,1,1,True,0.7324,"[192, 257, 309, 363]",TP
1NJ1,Rutgers Helistop Sec A,40.48719444444445,-74.43555555555555,0,0,False,0.0,,TN
1NJ3,Gaf Helistop,40.84459783333334,-74.461376,1,1,True,0.6822,"[307, 259, 429, 370]",TP
1NJ4,Rutgers Helistop Nr 1 and Sec 2b,40.51780555555556,-74.46261111111112,0,0,False,0.0,,TN
1NJ5,High Bar,40.95319444444445,-74.92969444444445,0,0,False,0.0,,TN
1NJ6,Idylease Helistop,41.054472222222216,-74.43183333333334,0,0,False,0.0,,TN
1NJ7,Skytop Farms,40.9475,-74.35324999999999,0,0,True,0.3929,"[0, 523, 43, 627]",TN
1NJ9,Air Tractor,41.29125,-74.55069444444445,1,1,True,0.7497,"[233, 249, 390, 388]",TP
1NK3,Troy Armory,42.69063444444444,-73.70373000000001,0,0,False,0.0,,TN
1NK9,Huntington Emergency Helistop,40.883986944444445,-73.42289777777778,1,1,True,0.7971,"[185, 290, 333, 423]",TP
1NY1,Seatuck Cove,40.81677222222223,-72.73078055555555,0,0,False,0.0,,TN
1NY2,Oishei Childrens Hospital,42.901025,-78.86787777777778,1,1,True,0.6649,"[122, 270, 242, 379]",TP
1PA1,401 City Avenue,40.0102,-75.21347777777778,1,0,True,0.2663,"[278, 273, 368, 361]",FN
1PA2,St Christopher's Hospital For Children,40.006972222222224,-75.12483055555555,1,1,True,0.7707,"[85, 219, 231, 351]",TP
1PN4,Fulton County Medical Center,39.93805555555555,-78.0075,0,1,True,0.5414,"[576, 162, 639, 281]",FP
1PN5,Lehigh Valley Health Network Kutztown,40.50684722222222,-75.78732777777778,1,1,True,0.7724,"[280, 278, 433, 421]",TP
1PS6,Aria Health-Torresdale Division,40.06966388888889,-74.98239722222222,1,1,True,0.7864,"[228, 242, 379, 381]",TP
1PS8,Punxsutawney Area Hospital,40.96117527777778,-79.00083333333333,0,1,True,0.5476,"[133, 557, 318, 640]",FP
20CT,Johnson Meml Hospital,41.98057777777778,-72.39146666666667,1,1,True,0.5793,"[256, 261, 383, 378]",TP
20MA,Wcvb-Tv,42.30416944444444,-71.22705833333333,1,1,True,0.5172,"[251, 277, 384, 392]",TP
20NJ,Liberty Ntl Golf Club,40.69819444444444,-74.07241666666667,1,1,True,0.7564,"[239, 264, 348, 367]",TP
20PA,Goh Montoursville,41.24659722222222,-76.9396,1,1,True,0.5249,"[280, 279, 355, 350]",TP
21NJ,Bergen County Police & Fire Academy,41.05676305555555,-74.18264500000001,0,1,True,0.61,"[575, 1, 640, 93]",FP
21PA,Camelback Mountain Resort,41.05362222222222,-75.34827777777777,0,0,False,0.0,,TN
21PN,UpMc Carlisle,40.18333055555555,-77.22280833333333,1,0,True,0.4955,"[264, 269, 374, 368]",FN
22MA,Poole's,42.63620638888889,-70.61865444444443,0,0,False,0.0,,TN
22NK,Alstar North,42.47645555555556,-79.3241,1,0,True,0.4175,"[229, 248, 384, 387]",FN
22NY,Troop A Headquarters,43.03135833333333,-78.18651666666668,0,0,False,0.0,,TN
22PA,Uniontown Hospital,39.90090944444445,-79.74476638888889,1,1,True,0.7966,"[343, 215, 513, 368]",TP
22PN,St Joseph Rgnl Health Network,40.37511388888889,-75.97963888888889,1,1,True,0.6484,"[327, 235, 508, 399]",TP
22PS,Montrose High School,41.84341944444445,-75.8425861111111,0,0,False,0.0,,TN
23MA,Westford Regency,42.563316666666665,-71.43224166666667,0,0,False,0.0,,TN
23PN,Penn Highlands Clearfield,41.0340005,-78.4501178888889,1,1,True,0.7712,"[253, 258, 396, 385]",TP
23PS,Constellation,39.853683333333336,-75.69951944444445,0,0,False,0.0,,TN
24MA,Barre-Bassett,42.43592305555556,-72.096745,0,0,False,0.0,,TN
24NY,Wang,40.88979166666667,-73.49160277777779,1,1,True,0.7684,"[252, 239, 360, 351]",TP
24PN,A H  Butz Downtown Allentown,40.601055555555554,-75.47508333333333,1,0,True,0.3047,"[194, 254, 330, 372]",FN
25JY,Heli-Ray,39.72066111111111,-74.84733333333332,0,0,False,0.0,,TN
25MA,High School,42.20600833333334,-71.44144444444444,0,0,True,0.4677,"[0, 567, 115, 640]",TN
25NJ,Atlantic Health Jets Training Center,40.78055555555555,-74.4175,1,1,True,0.7319,"[202, 242, 338, 368]",TP
25NY,Carters,40.80737883333333,-72.721507,0,0,True,0.2698,"[322, 353, 432, 454]",TN
25PA,The Washington Hospital Rooftop,40.183166666666665,-80.24616666666667,1,1,True,0.7581,"[176, 240, 309, 356]",TP
25PN,Nessmuk,41.72505,-77.28749722222221,1,1,True,0.8028,"[244, 252, 395, 394]",TP
25PS,Primrose,40.68924444444444,-76.27960555555555,1,1,True,0.5409,"[224, 235, 417, 398]",TP
26JY,Binder Winslow,39.73844444444445,-74.91055555555556,1,1,True,0.5883,"[270, 250, 405, 366]",TP
26NJ,Cape Rgnl Medical Center,39.08777222222223,-74.81669722222222,1,1,True,0.7704,"[213, 251, 359, 382]",TP
26NY,VaMc,40.89127222222222,-73.30903055555555,1,0,True,0.3132,"[52, 113, 228, 267]",FN
26PA,Stottle Meml,40.40358333333333,-77.55658333333334,1,0,False,0.0,,FN
26PS,Vaphs,40.44708333333333,-79.96325,1,0,True,0.3116,"[271, 127, 437, 266]",FN
27JY,Heaton,41.12617777777778,-74.82275,0,0,False,0.0,,TN
27NY,Don's,41.62148055555556,-74.24236944444445,0,0,False,0.0,,TN
27PN,Lehigh Valley Hospital/Hecktown Oaks,40.69790833333333,-75.2802138888889,1,1,True,0.7632,"[225, 234, 400, 389]",TP
28NJ,Steel Pier Taj Mahal,39.35641388888889,-74.418175,1,1,True,0.6668,"[238, 214, 460, 418]",TP
29JY,Ocean University Medical Center,40.078248,-74.131845,1,0,False,0.0,,FN
29NJ,J L Gentile,39.492583333333336,-74.88213888888889,1,1,True,0.6146,"[182, 192, 461, 451]",TP
29NK,Uhs Wilson Tower,42.115033333333336,-75.95846111111112,0,0,False,0.0,,TN
29NY,Clover Stadium,41.17080555555555,-74.03755555555556,0,0,False,0.0,,TN
29PN,St Vincent Health Center,42.11206666666667,-80.08085277777778,1,1,True,0.5175,"[230, 245, 382, 385]",TP
2JY5,Jet Line South,40.01583333333333,-74.97577777777778,1,0,False,0.0,,FN
2JY6,The Ridge At Back Brook,40.44125,-74.82816666666666,0,1,True,0.597,"[501, 122, 610, 224]",FP
2JY9,Hargrove,39.94638888888888,-75.10388888888889,1,1,True,0.6469,"[313, 330, 402, 412]",TP
2MA2,Digital,42.37361111111111,-71.55833333333334,0,0,False,0.0,,TN
2MA4,Compaq Littleton,42.54925833333333,-71.47256388888889,0,0,True,0.2543,"[459, 241, 640, 425]",TN
2MA5,Compaq Powdermill Road,42.42787111111111,-71.45756277777778,0,0,False,0.0,,TN
2MA8,Compaq Stow,42.43092611111111,-71.54173166666666,0,0,False,0.0,,TN
2MA9,Digital,42.63925833333333,-71.22450277777779,0,1,True,0.5127,"[35, 296, 168, 420]",FP
2NJ4,Six Flags Great Adventure,40.14615472222222,-74.434595,0,0,False,0.0,,TN
2NJ7,Foley Machinery,40.55010333333333,-74.48765361111111,0,0,False,0.0,,TN
2NJ9,Bayonne Golf Club,40.66416666666667,-74.08952777777777,1,0,False,0.0,,FN
2NK6,Bertrand Chaffee Hospital,42.51088333333333,-78.65865277777779,1,1,True,0.773,"[259, 256, 393, 379]",TP
2NK8,Landmark Plaza,40.782075,-73.82611388888888,1,1,True,0.6859,"[331, 289, 406, 364]",TP
2NY2,High View Too,41.34966666666667,-74.33316666666666,0,0,False,0.0,,TN
2NY5,Strong Meml Hospital,43.12325277777778,-77.62412222222221,1,1,True,0.7876,"[354, 267, 475, 382]",TP
2NY6,Slate Hill,41.37518888888889,-74.51449166666667,0,0,False,0.0,,TN
2NY8,Benbyre Farm,41.803325,-74.18197777777779,0,0,False,0.0,,TN
2PN2,Fortman,39.787413888888885,-76.64859722222224,0,0,False,0.0,,TN
2PS2,UpMc Meml Hospital,39.98300277777778,-76.76885277777778,1,1,True,0.5303,"[340, 138, 499, 271]",TP
2PS4,Wgal-Tv,40.03728611111111,-76.33739444444444,0,1,True,0.5508,"[29, 192, 139, 294]",FP
2PS5,Rosini Residence,40.786525,-76.58521111111111,0,0,False,0.0,,TN
2PS6,Sci Benner Township,40.85831944444445,-77.78066666666666,0,0,False,0.0,,TN
2PS9,Albert Einstein Medical Center,40.036525,-75.1431388888889,1,0,True,0.3091,"[287, 236, 399, 349]",FN
30MA,Clinton Hospital,42.42795,-71.6928,1,1,True,0.802,"[255, 253, 392, 373]",TP
30NJ,Hillside Farm,40.39113888888889,-74.77875,1,1,True,0.6636,"[276, 265, 381, 362]",TP
30PN,Pittsburgh Children's Hospital,40.46660833333333,-79.95266944444445,1,1,True,0.8365,"[260, 242, 431, 399]",TP
31NJ,Jefferson Cherry Hill Hospital,39.92805555555555,-75.01527777777778,1,1,True,0.6346,"[214, 267, 416, 437]",TP
32MA,Berkshire Medical Center,42.70805277777778,-73.11028888888889,1,1,True,0.763,"[252, 267, 377, 385]",TP
32NJ,George Harms Const,40.21394444444445,-74.19122222222222,0,0,False,0.0,,TN
32NK,Ranch Estate,41.17191111111111,-74.08646944444445,0,0,True,0.3351,"[256, 224, 393, 335]",TN
33NJ,Centra State Medical Center,40.23677222222222,-74.310975,1,0,True,0.3734,"[283, 279, 356, 348]",FN
33PA,Allegheny Wexford Rooftop,40.63604166666666,-80.06281305555555,1,1,True,0.5978,"[210, 218, 397, 372]",TP
33PN,Lackawanna County 911 Center,41.45561944444445,-75.55784444444444,1,1,True,0.5377,"[220, 258, 400, 416]",TP
34JY,Borgata Casino,39.379958333333335,-74.43224166666667,0,0,False,0.0,,TN
34MA,Crowhurst,42.57633611111111,-70.73885277777778,0,1,True,0.7504,"[30, 36, 175, 167]",FP
